857.93 * C_node6node7_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
608.21 * C_node6node7_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4294.0 * C_node6node7_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3615.43 * C_node6node7_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2563.05 * C_node6node7_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1816.99 * C_node6node7_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1288.1 * C_node6node7_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
913.16 * C_node6node7_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2090.0 * C_node6node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1759.72 * C_node6node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1247.5 * C_node6node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
884.38 * C_node6node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
