"Source(x,y)","Target(x,y)"
"(-11771.13658, 150069.97271)","(-11828.98588, 150328.93911)"
"(-11771.13658, 150069.97271)","(-11721.16148, 150038.74081)"
"(-11771.13658, 150069.97271)","(-11960.48012, 150082.8279)"
"(-13959.76258, 147857.25941)","(-13982.38488, 147789.31921)"
"(-13959.76258, 147857.25941)","(-13656.34528, 147921.06891)"
"(-13959.76258, 147857.25941)","(-13912.17588, 148174.97421)"
"(-13959.76258, 147857.25941)","(-13827.41254, 148018.7185)"
"(-13959.76258, 147857.25941)","(-14083.29341, 148038.77795)"
"(-13959.76258, 147857.25941)","(-13290.59419, 147587.12927)"
"(-13982.38488, 147789.31921)","(-13959.76258, 147857.25941)"
"(-13982.38488, 147789.31921)","(-13517.05858, 147392.12021)"
"(-13982.38488, 147789.31921)","(-14041.91648, 147856.58241)"
"(-13982.38488, 147789.31921)","(-14083.29341, 148038.77795)"
"(-13982.38488, 147789.31921)","(-13290.59419, 147587.12927)"
"(-13912.17588, 148174.97421)","(-13959.76258, 147857.25941)"
"(-13912.17588, 148174.97421)","(-13821.76818, 148188.55821)"
"(-13912.17588, 148174.97421)","(-14082.90658, 148243.02061)"
"(-13912.17588, 148174.97421)","(-13827.41254, 148018.7185)"
"(-13912.17588, 148174.97421)","(-14083.29341, 148038.77795)"
"(-13827.41254, 148018.7185)","(-13959.76258, 147857.25941)"
"(-13827.41254, 148018.7185)","(-13821.76818, 148188.55821)"
"(-13827.41254, 148018.7185)","(-13656.34528, 147921.06891)"
"(-13827.41254, 148018.7185)","(-13634.20328, 148057.00371)"
"(-13827.41254, 148018.7185)","(-13912.17588, 148174.97421)"
"(-13111.00188, 147817.87781)","(-13212.37538, 147764.49301)"
"(-13111.00188, 147817.87781)","(-12994.57238, 148531.33661)"
"(-13111.00188, 147817.87781)","(-13016.03408, 147973.70541)"
"(-13111.00188, 147817.87781)","(-12939.92328, 148186.61558)"
"(-13111.00188, 147817.87781)","(-13290.59419, 147587.12927)"
"(-13212.37538, 147764.49301)","(-13111.00188, 147817.87781)"
