Node,Stand
"(-10670.33428, 145072.63241)","[868, 869]"
"(-10696.10468, 145035.18151)","[868, 869]"
"(-10721.43768, 144991.30701)","[868, 869]"
"(-10759.07438, 144976.95881)","[868, 869]"
"(-10778.58608, 144969.52051)","[868, 869]"
"(-10821.91428, 144965.46371)","[868, 869]"
"(-10866.23208, 144968.77101)","[868, 869]"
"(-10882.10718, 144919.82301)","[868, 869]"
"(-10883.74818, 144908.85681)","[868, 869]"
"(-10905.33838, 144888.08311)","[868, 869]"
"(-10961.31828, 144813.22071)","[868, 869]"
"(-10931.42588, 144772.14521)","[868, 869, 870]"
"(-10921.24288, 144729.93111)","[868, 870]"
"(-11031.70128, 144729.29401)","[868, 871]"
"(-10980.45618, 144742.56161)","[868, 871]"
"(-11005.13328, 144780.58121)","[868, 871]"
"(-11055.80548, 144820.90891)","[868, 871]"
"(-11134.21108, 144849.16651)","[868, 871]"
"(-11236.15008, 144861.58141)","[868, 871]"
"(-11295.86918, 144831.21091)","[868, 871]"
"(-11345.39698, 144805.24731)","[868, 871]"
"(-10887.81988, 145239.94861)","[868, 1494]"
"(-10862.34408, 145261.55381)","[868, 1494]"
"(-10769.58068, 145276.86331)","[868, 1494]"
