Node,Stand
"(-15371.32418, 149814.24621)",[1236]
"(-15378.56608, 149808.37301)",[1236]
"(-15381.82928, 149805.72651)",[1236]
"(-15374.85168, 149792.90991)",[1236]
"(-15368.45138, 149781.15371)",[1236]
"(-15362.65888, 149770.51401)",[1236]
"(-15362.45808, 149770.60951)",[1236]
"(-15337.81158, 149780.92821)",[1236]
"(-15271.11058, 149813.85951)",[1236]
"(-15271.09318, 149813.86451)",[1236]
"(-15269.26938, 149814.38911)",[1236]
"(-15263.88568, 149815.93801)",[1236]
"(-15257.52648, 149817.76761)",[1236]
"(-15252.33478, 149819.26121)",[1236]
"(-15246.66958, 149820.89101)",[1236]
"(-15240.61298, 149822.63351)",[1236]
"(-15235.56858, 149824.08481)",[1236]
"(-15231.51578, 149825.25081)",[1236]
"(-15226.00638, 149826.83581)",[1236]
"(-15225.96968, 149826.84641)",[1236]
"(-15223.23828, 149827.63221)",[1236]
"(-15219.76548, 149827.94571)",[1236]
"(-15213.56948, 149828.50501)",[1236]
"(-15209.04808, 149828.91311)",[1236]
"(-15203.13188, 149829.44731)",[1236]
"(-15192.36848, 149830.41881)",[1236]
"(-15182.68838, 149831.29271)",[1236]
"(-15166.31108, 149832.77121)",[1236]
"(-15153.31948, 149833.94401)",[1236]
"(-15147.46178, 149835.42661)",[1236]
"(-15129.23668, 149840.03941)",[1236]
"(-15106.08218, 149845.90001)",[1236]
"(-15087.36578, 149850.63721)",[1236]
"(-15078.34838, 149808.02801)",[1236]
"(-15140.64558, 149774.92541)",[1236]
"(-15178.55158, 149734.84121)",[1236]
"(-15178.50918, 149734.84611)",[1236]
"(-15178.54888, 149734.80421)",[1236]
"(-15078.50408, 149746.25911)",[1236]
"(-15402.26318, 149418.59581)",[1236]
"(-15434.25168, 149477.40241)",[1236]
"(-15432.42958, 149560.20351)",[1236]
"(-15432.42838, 149560.26301)",[1236]
"(-15431.16208, 149560.49161)",[1236]
"(-15429.10278, 149560.86331)",[1236]
"(-15420.33398, 149562.44591)",[1236]
"(-15407.94948, 149564.68111)",[1236]
"(-15396.14008, 149566.81251)",[1236]
"(-15390.63988, 149567.80521)",[1236]
"(-15388.61038, 149568.17161)",[1236]
"(-15388.42618, 149568.20481)",[1236]
"(-15388.29288, 149568.70661)",[1236]
"(-15386.67088, 149574.81071)",[1236]
"(-15385.18978, 149580.38481)",[1236]
"(-15383.62108, 149586.28881)",[1236]
"(-15382.34908, 149591.07581)",[1236]
"(-15378.17908, 149606.76941)",[1236]
"(-15374.59388, 149620.26251)",[1236]
"(-15375.86618, 149623.30041)",[1236]
"(-15383.57608, 149641.70941)",[1236]
"(-15390.45258, 149658.12841)",[1236]
"(-15398.09138, 149676.36761)",[1236]
"(-15402.00798, 149685.71911)",[1236]
"(-15433.16508, 149690.05221)",[1236]
"(-15461.26038, 149693.95951)",[1236]
"(-15468.72278, 149694.99731)",[1236]
"(-15481.48808, 149693.88531)",[1236]
"(-15500.69658, 149692.21201)",[1236]
"(-15521.17198, 149690.42841)",[1236]
"(-15522.44118, 149690.31781)",[1236]
"(-15523.98278, 149694.62421)",[1236]
"(-15529.77098, 149710.79201)",[1236]
"(-15544.55798, 149752.09621)",[1236]
"(-15549.11008, 149764.81151)",[1236]
"(-15551.07158, 149771.71641)",[1236]
"(-15557.30038, 149793.64231)",[1236]
"(-15560.18648, 149803.80161)",[1236]
"(-15561.43778, 149808.20651)",[1236]
"(-15564.13278, 149817.69331)",[1236]
"(-15568.71738, 149833.09291)",[1236]
"(-15568.71988, 149833.10121)",[1236]
"(-15575.52858, 149855.97201)",[1236]
"(-15583.07898, 149881.33411)",[1236]
"(-15588.01568, 149897.91681)",[1236]
