"Source(x,y)","Target(x,y)"
"(-17837.68047, 148073.64623)","(-17701.27618, 147951.16761)"
"(-17565.15922, 148147.77305)","(-17701.27618, 147951.16761)"
"(-17283.70888, 149530.33311)","(-16898.05758, 149306.61571)"
"(-17315.36834, 149397.60016)","(-16898.05758, 149306.61571)"
"(-16916.6274, 149515.02326)","(-16898.05758, 149306.61571)"
"(-18349.70861, 147493.11881)","(-18425.05698, 147069.34801)"
"(-18227.10607, 147145.0478)","(-18425.05698, 147069.34801)"
"(-18483.27231, 147244.2518)","(-18425.05698, 147069.34801)"
"(-18306.04294, 147300.28859)","(-18425.05698, 147069.34801)"
"(-17732.09253, 147427.752)","(-18425.05698, 147069.34801)"
"(-17259.53941, 149560.846)","(-17283.70888, 149530.33311)"
"(-17774.00848, 149497.92601)","(-17283.70888, 149530.33311)"
"(-17315.36834, 149397.60016)","(-17283.70888, 149530.33311)"
