"Source(x,y)","Target(x,y)"
"(-9061.65446, 148023.46264)","(-9161.00848, 148181.51851)"
"(-9701.53288, 147269.92461)","(-9641.59908, 147317.14741)"
"(-9265.53118, 147888.80471)","(-9641.59908, 147317.14741)"
"(-9688.82758, 147359.73901)","(-9641.59908, 147317.14741)"
"(-9454.02002, 147560.1691)","(-9641.59908, 147317.14741)"
"(-9176.27018, 149207.79901)","(-8961.63542, 149290.1978)"
"(-9195.31222, 149600.1961)","(-8961.63542, 149290.1978)"
"(-8687.59806, 149113.73979)","(-8961.63542, 149290.1978)"
"(-9056.37368, 148999.23316)","(-8961.63542, 149290.1978)"
"(-8387.72104, 151633.98382)","(-8257.25178, 151633.83521)"
"(-8256.85768, 151748.90831)","(-8257.25178, 151633.83521)"
"(-8245.87627, 151692.79859)","(-8257.25178, 151633.83521)"
"(-8383.39678, 150754.94041)","(-8380.10708, 150754.94041)"
"(-8367.09544, 150920.68234)","(-8380.10708, 150754.94041)"
"(-8398.94245, 151094.20055)","(-8380.10708, 150754.94041)"
"(-9176.27018, 149207.79901)","(-9544.14028, 149227.88431)"
"(-9768.74118, 149033.78711)","(-9544.14028, 149227.88431)"
"(-9560.85348, 149342.68431)","(-9544.14028, 149227.88431)"
"(-9195.31222, 149600.1961)","(-9544.14028, 149227.88431)"
"(-9474.63396, 149158.3651)","(-9544.14028, 149227.88431)"
"(-9738.80558, 148537.42421)","(-9593.88298, 148433.50071)"
"(-9426.05538, 148523.91821)","(-9593.88298, 148433.50071)"
"(-9296.07777, 148364.1537)","(-9593.88298, 148433.50071)"
"(-9516.84491, 148293.55623)","(-9593.88298, 148433.50071)"
"(-9195.31222, 149600.1961)","(-9087.16518, 149863.16341)"
"(-9090.17281, 150041.98109)","(-9087.16518, 149863.16341)"
"(-9288.66848, 149878.09677)","(-9087.16518, 149863.16341)"
"(-8367.09544, 150920.68234)","(-8383.39678, 150754.94041)"
"(-8398.94245, 151094.20055)","(-8383.39678, 150754.94041)"
"(-9875.59603, 150505.94866)","(-9844.34562, 150536.15574)"
"(-9783.32482, 150505.42656)","(-9844.34562, 150536.15574)"
"(-8256.85768, 151748.90831)","(-8368.20178, 151792.32101)"
"(-8475.80968, 151789.95321)","(-8368.20178, 151792.32101)"
"(-8322.38385, 151946.31322)","(-8368.20178, 151792.32101)"
"(-8379.33824, 151854.72353)","(-8368.20178, 151792.32101)"
"(-8648.87098, 152906.36191)","(-8870.40298, 152853.96231)"
"(-8968.46528, 152869.15571)","(-8870.40298, 152853.96231)"
"(-8703.39839, 152860.25856)","(-8870.40298, 152853.96231)"
